n_steps,dt,mean_pnl,std_pnl
3,0.02777778,0.075336,1.059256
7,0.01190476,0.085721,0.724786
21,0.00396825,0.084559,0.427551
63,0.00132275,0.082211,0.254736
126,0.00066138,0.085170,0.182885
252,0.00033069,0.083554,0.133025
# fitted_rate,-0.4707 (theory -0.5)
