update,total_steps,episodes_in_rollout,mean_recent_total_pnl,std_recent_total_pnl,approx_kl,clip_frac,entropy,policy_loss,value_loss
1,2048,96,-0.8176039013149471,3.3328903239925887,0.004286978432598214,0.051513671875,-0.17825608452161154,-0.005672021245118231,99.21129755179088
2,4096,96,-1.0492746765259513,3.0268810576155145,0.0032876591285457835,0.024739583333333332,-0.16856233278910318,-0.004253669544899215,40.40744984149933
3,6144,96,-1.0161899694337804,2.867350653432908,0.00428697078799208,0.018229166666666668,-0.15621675054232279,-0.0012988043793787558,10.678229361772537
4,8192,96,-0.9412569304070427,2.8312710600603612,0.003085163809979955,0.010498046875,-0.16097403317689896,-0.0024050203816538365,16.20535198847453
5,10240,96,-0.9825615805274975,2.677809286771187,0.0005550366137564803,0.027425130208333332,-0.17352931946516037,-0.0013373599504120648,15.369342674811682
6,12288,96,-0.9876746072776842,2.7966946509726975,0.0018804876502448071,0.009847005208333334,-0.18288916846116385,-0.00035869375763771433,40.06044073899587
7,14336,96,-0.9442046582155189,2.8507131491000663,0.0013347973726922646,0.014404296875,-0.1873092403014501,-0.0016547568375244737,10.609277993440628
8,16384,96,-0.9512041537884364,2.7780882087302112,0.0020202294253977016,0.013590494791666666,-0.2016566147406896,-0.0014055136998649687,9.662916829188665
9,18432,96,-0.9679625323168491,2.9983206381509655,0.00031675231002736837,0.0,-0.21860397855440775,-6.790730791787307e-05,206.4839670062065
10,20480,96,-0.9065226219595823,2.8045308581307404,0.003007033359608613,0.011311848958333334,-0.22029737631479898,-0.00044271277147345245,9.190644264221191
11,22528,112,-0.9275562416484503,2.702513525555145,0.001176095431825767,0.009847005208333334,-0.21751585602760315,-0.00062512182436573,13.677945246299108
12,24576,96,-0.8660965820302299,2.868943511379327,0.003557922192461168,0.031575520833333336,-0.21762535472710928,-0.003252357850821378,37.516979525486626
13,26624,96,-0.6886810228868617,2.728478864269937,0.0005318313245273506,0.004801432291666667,-0.21718301872412363,-0.001760028739226982,38.11015188694
14,28672,96,-0.6949200024056839,2.7911761015791607,0.0020302764654237158,0.007405598958333333,-0.2215848664442698,-7.154637326796849e-05,7.407640765110652
15,30720,96,-0.6600912635561378,2.8773041150073233,0.004386945399649751,0.06494140625,-0.22747652480999628,-0.0021971864722824344,33.57882071534792
16,32768,96,-0.6960236657410118,2.6835816916463298,0.0012021000390329088,0.010498046875,-0.22958792497714361,-0.0011238848989402566,9.876968080798784
17,34816,96,-0.7745009155408178,2.5674422794810208,0.0024429390468867496,0.005452473958333333,-0.2323131486773491,-0.0006860115487749378,10.368591417868933
18,36864,96,-0.7320796544243034,2.6104792370183034,0.0037755708763143048,0.015950520833333332,-0.24211589246988297,-0.0018365841242484748,10.565364489952723
19,38912,96,-0.6267323685200455,2.515382695683532,0.0010614812781568617,0.033040364583333336,-0.2494130233923594,-0.0028576749027706683,4.941107829411824
20,40960,96,-0.5266918114254879,2.5513320633912624,0.001137916949422409,0.023356119791666668,-0.2565344547231992,-0.001655674500701328,6.850168506304423
21,43008,112,-0.518204352553994,2.9635216056438103,-0.0002693681065769245,0.0,-0.25893813868363696,-4.7629529338640474e-05,84.91062498092651
22,45056,96,-0.6121093303206365,3.104731288135332,0.000710787246741044,0.0,-0.2595952898263931,-0.00014609371040326854,48.677697678407036
23,47104,96,-0.8044785286151627,3.166937254929626,0.002167776032971839,0.0030110677083333335,-0.25862256934245426,-0.0005951846978859976,27.480465352535248
24,49152,96,-0.9085033347394753,3.304394144252441,0.0019780338916461915,0.013916015625,-0.26607536524534225,-0.0009003157028928399,18.41163170337677
25,51200,96,-0.9055839271553779,3.047867593278116,0.0058052592891423655,0.017659505208333332,-0.2727787072459857,-0.0009214244006822506,8.405213077863058
26,53248,96,-0.817287800291682,2.8226738914234684,0.00231909135375948,0.018310546875,-0.2791801740725835,-0.0017005187013031293,19.063899050156277
27,55296,96,-0.6486998921063651,2.868011409212329,0.0030707519569356614,0.04296875,-0.2834347014625867,-0.003855887334793806,15.934177547693253
28,57344,96,-0.5873829904079446,3.006555196312768,0.0004894750212163975,0.0005696614583333334,-0.28332269936800003,-0.0008580334639797608,128.06311611334482
29,59392,96,-0.6836584628533742,3.3639962964076022,0.0060729416873073205,0.061686197916666664,-0.2820947766304016,-0.004656891309423372,128.99329662322998
30,61440,96,-0.852024300485961,3.5875957646251164,0.0004702941805589944,0.010172526041666666,-0.27967170377572376,-0.0011346595808087538,74.33252831300099
31,63488,96,-0.7914640866942855,3.491739081300318,-3.445920689652363e-05,0.008951822916666666,-0.2782704879840215,-0.0003078079510790606,7.346515079339345
32,65536,112,-0.7410281890880768,3.2445298688840705,0.0025757983967196196,0.007161458333333333,-0.28058258692423504,-0.0007525753268661598,9.219467997550964
33,67584,96,-0.6754545396483062,3.0065468943185647,0.0022579892586994297,0.012613932291666666,-0.283218855659167,-0.0015821311681065708,12.819910933574041
34,69632,96,-0.5755428375726832,2.9968193112533985,0.0006150634289951995,0.0,-0.2933331976334254,-4.1263915287951626e-05,69.71427925427754
35,71680,96,-0.7752816804435547,3.0979531645230542,0.002940489115038266,0.013427734375,-0.29225898037354153,-0.000580953317694366,17.32093705733617
36,73728,96,-0.9075870012222049,3.2805188539538324,0.00010485132224857807,0.0,-0.2921861583987872,-9.440605936106294e-05,47.74946165084839
37,75776,96,-1.0813574679991473,3.5871858220783657,0.00759871053257181,0.07137044270833333,-0.29086912671724957,-0.0036736771871801466,156.08592160542807
38,77824,96,-0.7988558513076721,3.3006957193498385,0.001050008392970388,0.005126953125,-0.29181507726510364,-0.0005316438425021867,7.667591571807861
39,79872,96,-0.6441347221244351,3.246521990594693,0.0009115537444207197,0.0029296875,-0.29658716668685275,-0.0003661928349174559,12.03574917713801
40,81920,96,-0.608475904421783,3.206863321793778,-0.0005018646237052357,0.0022786458333333335,-0.2943169300754865,-0.0002734050018868099,23.748201727867126
41,83968,96,-0.4649540217494217,2.8410535434651636,0.001907092237767453,0.017903645833333332,-0.3021019871036212,-0.0005052994723276546,13.68771400054296
42,86016,112,-0.537239182220071,3.0405109658296787,-0.0004595506567663203,0.00048828125,-0.30527446915705997,-0.0009268769063055515,106.83154833316803
43,88064,96,-0.787225300709519,3.2436770333828644,0.0014929757502007608,0.0087890625,-0.3017331485946973,-0.0008942453714553267,34.691139817237854
44,90112,96,-0.6900884245821728,3.2843503419767504,0.004422831921450173,0.025716145833333332,-0.30587497850259143,-0.0021477110616009063,59.943336725234985
45,92160,96,-0.8766104695564566,3.3254188446499215,0.0013878995911606278,0.005615234375,-0.3047482545177142,-0.0007886225163626174,15.674715240796408
46,94208,96,-0.9993689189687842,3.356094762844681,0.0017185798448432859,0.012532552083333334,-0.3010792111357053,-0.0018987707517226227,102.98728426297505
47,96256,96,-0.80704975871448,3.259212447366498,0.0009227387393669536,0.0023600260416666665,-0.3057330871621768,-0.000334693012215818,18.191951642433803
48,98304,96,-0.868386933615657,3.1237132573366524,0.001573730944073759,0.006103515625,-0.31376610696315765,3.954698331654072e-05,6.894240031639735
49,100352,96,-0.6224743156069559,2.8728989215313563,0.0024475953444683305,0.019612630208333332,-0.32770224660634995,-0.0011743926637185116,8.50575057665507
50,102400,96,-0.6296034037754642,3.1143718674115286,0.003186796704540029,0.010416666666666666,-0.32284311950206757,7.133550631503265e-05,100.47838123639424
51,104448,96,-0.6973688627400206,3.157765859751897,-8.225959997313717e-06,0.0,-0.32102474321921665,-4.189907728383938e-05,150.65930859247842
